,UF,regiao,data,internacoes,ano,pop,internacao_por_mil
0,Rondônia,Norte,2008-02-01,5562,2008,1493566.0,3.723973363078699
1,Rondônia,Norte,2008-03-01,5105,2008,1493566.0,3.4179942500030127
2,Rondônia,Norte,2008-04-01,5175,2008,1493566.0,3.464861947848304
3,Rondônia,Norte,2008-05-01,5148,2008,1493566.0,3.4467844072508345
4,Rondônia,Norte,2008-06-01,6099,2008,1493566.0,4.0835155594061465
5,Rondônia,Norte,2008-07-01,7080,2008,1493566.0,4.740332867780868
6,Rondônia,Norte,2008-08-01,7332,2008,1493566.0,4.909056580023916
7,Rondônia,Norte,2008-09-01,6875,2008,1493566.0,4.60307746694823
8,Rondônia,Norte,2008-10-01,6907,2008,1493566.0,4.624502700248934
9,Rondônia,Norte,2008-11-01,6699,2008,1493566.0,4.485238683794355
10,Rondônia,Norte,2008-12-01,5864,2008,1493566.0,3.9261740023540974
11,Acre,Norte,2008-02-01,3723,2008,680073.0,5.474412305737767
12,Acre,Norte,2008-03-01,4163,2008,680073.0,6.121401673055686
13,Acre,Norte,2008-04-01,4223,2008,680073.0,6.209627495871767
14,Acre,Norte,2008-05-01,4471,2008,680073.0,6.574294230178231
15,Acre,Norte,2008-06-01,4478,2008,680073.0,6.584587242840107
16,Acre,Norte,2008-07-01,4083,2008,680073.0,6.003767242634247
17,Acre,Norte,2008-08-01,3823,2008,680073.0,5.621455343764566
18,Acre,Norte,2008-09-01,4182,2008,680073.0,6.149339850280779
19,Acre,Norte,2008-10-01,4141,2008,680073.0,6.089052204689791
20,Acre,Norte,2008-11-01,3928,2008,680073.0,5.775850533692706
21,Acre,Norte,2008-12-01,4060,2008,680073.0,5.969947343888083
22,Amazonas,Norte,2008-02-01,13828,2008,3341096.0,4.138761651865137
23,Amazonas,Norte,2008-03-01,14869,2008,3341096.0,4.450336057389551
24,Amazonas,Norte,2008-04-01,14323,2008,3341096.0,4.28691662855542
25,Amazonas,Norte,2008-05-01,14904,2008,3341096.0,4.460811661801996
26,Amazonas,Norte,2008-06-01,14578,2008,3341096.0,4.363238889274657
27,Amazonas,Norte,2008-07-01,14936,2008,3341096.0,4.470389357264802
28,Amazonas,Norte,2008-08-01,14413,2008,3341096.0,4.313853897044563
29,Amazonas,Norte,2008-09-01,13346,2008,3341096.0,3.994497613956618
30,Amazonas,Norte,2008-10-01,12602,2008,3341096.0,3.7718161944463735
31,Amazonas,Norte,2008-11-01,12137,2008,3341096.0,3.6326403072524704
32,Amazonas,Norte,2008-12-01,12050,2008,3341096.0,3.606600947712966
33,Roraima,Norte,2008-02-01,1739,2008,412783.0,4.212867293468966
34,Roraima,Norte,2008-03-01,2047,2008,412783.0,4.959022052749265
35,Roraima,Norte,2008-04-01,2211,2008,412783.0,5.356325236262152
36,Roraima,Norte,2008-05-01,2415,2008,412783.0,5.8505316352659875
37,Roraima,Norte,2008-06-01,2295,2008,412783.0,5.559821988793143
38,Roraima,Norte,2008-07-01,2228,2008,412783.0,5.397509102845805
39,Roraima,Norte,2008-08-01,2298,2008,412783.0,5.567089729954964
40,Roraima,Norte,2008-09-01,2116,2008,412783.0,5.126180099471151
41,Roraima,Norte,2008-10-01,2205,2008,412783.0,5.34178975393851
42,Roraima,Norte,2008-11-01,2122,2008,412783.0,5.140715581794793
43,Roraima,Norte,2008-12-01,1986,2008,412783.0,4.81124464912557
44,Pará,Norte,2008-02-01,40225,2008,7321493.0,5.4940979934010725
45,Pará,Norte,2008-03-01,43274,2008,7321493.0,5.910543109171859
46,Pará,Norte,2008-04-01,44734,2008,7321493.0,6.109955988484862
47,Pará,Norte,2008-05-01,44894,2008,7321493.0,6.131809454710945
