,UF,regiao,data,perm_media
0,Rondônia,Norte,2008-02-01,3.4
1,Acre,Norte,2008-02-01,4.8
2,Amazonas,Norte,2008-02-01,4.9
3,Roraima,Norte,2008-02-01,5.0
4,Pará,Norte,2008-02-01,3.8
5,Amapá,Norte,2008-02-01,5.1
6,Tocantins,Norte,2008-02-01,4.8
7,Maranhão,Nordeste,2008-02-01,4.9
8,Piauí,Nordeste,2008-02-01,4.5
9,Ceará,Nordeste,2008-02-01,5.1
10,Rio Grande do Norte,Nordeste,2008-02-01,5.7
11,Paraíba,Nordeste,2008-02-01,5.0
12,Pernambuco,Nordeste,2008-02-01,5.9
13,Alagoas,Nordeste,2008-02-01,5.1
14,Sergipe,Nordeste,2008-02-01,4.9
15,Bahia,Nordeste,2008-02-01,4.3
16,Minas Gerais,Sudeste,2008-02-01,5.6
17,Espírito Santo,Sudeste,2008-02-01,6.1
18,Rio de Janeiro,Sudeste,2008-02-01,15.0
19,São Paulo,Sudeste,2008-02-01,8.1
20,Paraná,Sul,2008-02-01,5.2
21,Santa Catarina,Sul,2008-02-01,5.4
22,Rio Grande do Sul,Sul,2008-02-01,5.9
23,Mato Grosso do Sul,Centro-Oeste,2008-02-01,4.6
24,Mato Grosso,Centro-Oeste,2008-02-01,4.3
25,Goiás,Centro-Oeste,2008-02-01,4.8
26,Distrito Federal,Centro-Oeste,2008-02-01,6.7
27,Rondônia,Norte,2008-03-01,3.8
28,Acre,Norte,2008-03-01,4.6
29,Amazonas,Norte,2008-03-01,4.7
30,Roraima,Norte,2008-03-01,4.7
31,Pará,Norte,2008-03-01,3.8
32,Amapá,Norte,2008-03-01,5.0
33,Tocantins,Norte,2008-03-01,4.5
34,Maranhão,Nordeste,2008-03-01,4.6
35,Piauí,Nordeste,2008-03-01,4.4
36,Ceará,Nordeste,2008-03-01,5.1
37,Rio Grande do Norte,Nordeste,2008-03-01,5.5
38,Paraíba,Nordeste,2008-03-01,4.8
39,Pernambuco,Nordeste,2008-03-01,6.7
40,Alagoas,Nordeste,2008-03-01,5.5
