,UF,regiao,data,valor_hospitalar,valor_corrigido
0,Rondônia,Norte,2008-02-01,1508433.27,2907875.523027687
1,Acre,Norte,2008-02-01,1328906.03,2561792.6850956404
2,Amazonas,Norte,2008-02-01,6091900.71,11743634.481970811
3,Roraima,Norte,2008-02-01,553109.78,1066254.9168046585
4,Pará,Norte,2008-02-01,15560635.68,29996946.180206753
5,Amapá,Norte,2008-02-01,948849.37,1829140.1502058099
6,Tocantins,Norte,2008-02-01,4051196.79,7809676.58225235
7,Maranhão,Nordeste,2008-02-01,10466630.82,20177000.98198259
8,Piauí,Nordeste,2008-02-01,7649607.64,14746497.083773276
9,Ceará,Nordeste,2008-02-01,21922146.54,42260320.42895214
10,Rio Grande do Norte,Nordeste,2008-02-01,7242039.44,13960809.300087325
11,Paraíba,Nordeste,2008-02-01,8647599.03,16670370.544329723
12,Pernambuco,Nordeste,2008-02-01,20418331.44,39361347.562589005
13,Alagoas,Nordeste,2008-02-01,6223448.65,11997225.437857587
14,Sergipe,Nordeste,2008-02-01,3507550.31,6761664.499906697
15,Bahia,Nordeste,2008-02-01,25932151.93,49990590.47317498
16,Minas Gerais,Sudeste,2008-02-01,56594288.71,109099388.19035141
17,Espírito Santo,Sudeste,2008-02-01,7954274.43,15333817.132289851
18,Rio de Janeiro,Sudeste,2008-02-01,36948080.68,71226498.0950892
19,São Paulo,Sudeste,2008-02-01,142799860.02,275281794.6291638
20,Paraná,Sul,2008-02-01,39918589.7,76952883.63827664
21,Santa Catarina,Sul,2008-02-01,19823465.66,38214597.702617556
22,Rio Grande do Sul,Sul,2008-02-01,37691653.5,72659917.28960662
23,Mato Grosso do Sul,Centro-Oeste,2008-02-01,6545391.61,12617849.54620484
24,Mato Grosso,Centro-Oeste,2008-02-01,6292297.9,12129949.273134578
25,Goiás,Centro-Oeste,2008-02-01,14824874.78,28578586.379702736
26,Distrito Federal,Centro-Oeste,2008-02-01,8042348.03,15503600.622722235
27,Rondônia,Norte,2008-03-01,1529217.11,2933855.975838238
28,Acre,Norte,2008-03-01,1571136.85,3014280.448531056
29,Amazonas,Norte,2008-03-01,6614473.57,12690096.575213302
30,Roraima,Norte,2008-03-01,628660.51,1206106.956282365
31,Pará,Norte,2008-03-01,16980286.9,32577268.37297337
32,Amapá,Norte,2008-03-01,863481.65,1656619.4442325863
33,Tocantins,Norte,2008-03-01,4097676.42,7861534.096926522
34,Maranhão,Nordeste,2008-03-01,11398889.44,21869164.085839573
35,Piauí,Nordeste,2008-03-01,8194292.35,15721033.607067773
36,Ceará,Nordeste,2008-03-01,23800479.6,45662044.22227271
37,Rio Grande do Norte,Nordeste,2008-03-01,7996170.11,15340929.229494823
38,Paraíba,Nordeste,2008-03-01,9794720.79,18791510.985257365
39,Pernambuco,Nordeste,2008-03-01,24084254.25,46206475.714210376
40,Alagoas,Nordeste,2008-03-01,7082832.51,13588659.418887122
41,Sergipe,Nordeste,2008-03-01,3764762.98,7222828.134905953
42,Bahia,Nordeste,2008-03-01,32004277.31,61401314.19163079
43,Minas Gerais,Sudeste,2008-03-01,63761931.47,122329473.3304728
44,Espírito Santo,Sudeste,2008-03-01,9667447.75,18547333.25109175
45,Rio de Janeiro,Sudeste,2008-03-01,34962168.33,67076130.53272264
46,São Paulo,Sudeste,2008-03-01,138491473.46,265700687.2054052
47,Paraná,Sul,2008-03-01,45443777.25,87185460.17940792
48,Santa Catarina,Sul,2008-03-01,22368847.21,42915407.91069948
49,Rio Grande do Sul,Sul,2008-03-01,43494822.82,83446323.62142636
50,Mato Grosso do Sul,Centro-Oeste,2008-03-01,7769555.51,14906161.272692278
51,Mato Grosso,Centro-Oeste,2008-03-01,7479587.02,14349846.6842482
52,Goiás,Centro-Oeste,2008-03-01,17163023.44,32927854.752354786
53,Distrito Federal,Centro-Oeste,2008-03-01,9160189.71,17574141.137157064
54,Rondônia,Norte,2008-04-01,1684669.55,3214419.8044662937
55,Acre,Norte,2008-04-01,1574980.69,3005128.882152579
56,Amazonas,Norte,2008-04-01,6549705.7,12497111.801840171
57,Roraima,Norte,2008-04-01,648511.02,1237386.089220071
58,Pará,Norte,2008-04-01,18062928.85,34464822.03118444
59,Amapá,Norte,2008-04-01,1037201.99,1979024.6804709272
60,Tocantins,Norte,2008-04-01,4198413.39,8010747.952411479
61,Maranhão,Nordeste,2008-04-01,11680866.14,22287580.050185956
62,Piauí,Nordeste,2008-04-01,8023309.47,15308809.290065201
63,Ceará,Nordeste,2008-04-01,24798983.57,47317495.53972898
64,Rio Grande do Norte,Nordeste,2008-04-01,8676263.72,16554673.247546025
65,Paraíba,Nordeste,2008-04-01,10100227.34,19271655.25803438
66,Pernambuco,Nordeste,2008-04-01,23763203.2,45341183.369543776
67,Alagoas,Nordeste,2008-04-01,8095804.07,15447132.012142574
68,Sergipe,Nordeste,2008-04-01,3940526.58,7518689.157038443
69,Bahia,Nordeste,2008-04-01,33408416.32,63744652.50758698
70,Minas Gerais,Sudeste,2008-04-01,63620055.13,121389720.12114152
71,Espírito Santo,Sudeste,2008-04-01,9920543.85,18928811.66072972
72,Rio de Janeiro,Sudeste,2008-04-01,37111659.05,70810594.17671598
73,São Paulo,Sudeste,2008-04-01,138306195.02,263893991.76394296
74,Paraná,Sul,2008-04-01,45885506.03,87551460.35659607
75,Santa Catarina,Sul,2008-04-01,22643169.23,43204111.81456553
76,Rio Grande do Sul,Sul,2008-04-01,42808642.68,81680676.68399006
77,Mato Grosso do Sul,Centro-Oeste,2008-04-01,7145229.87,13633396.770062188
78,Mato Grosso,Centro-Oeste,2008-04-01,7467467.57,14248239.74898685
79,Goiás,Centro-Oeste,2008-04-01,17169303.69,32759747.933968544
80,Distrito Federal,Centro-Oeste,2008-04-01,9455369.68,18041239.932152938
81,Rondônia,Norte,2008-05-01,1812552.35,3431315.432929411
82,Acre,Norte,2008-05-01,1701820.87,3221691.343321674
83,Amazonas,Norte,2008-05-01,7008455.92,13267601.876051465
84,Roraima,Norte,2008-05-01,740488.42,1401807.425562917
85,Pará,Norte,2008-05-01,18442410.2,34913047.747103564
86,Amapá,Norte,2008-05-01,1037976.38,1964977.3821485501
87,Tocantins,Norte,2008-05-01,4185265.13,7923062.101610647
88,Maranhão,Nordeste,2008-05-01,11166295.87,21138745.784300763
89,Piauí,Nordeste,2008-05-01,8254524.89,15626516.192239603
90,Ceará,Nordeste,2008-05-01,24646786.53,46658458.71569211
91,Rio Grande do Norte,Nordeste,2008-05-01,8713481.61,16495360.215631625
92,Paraíba,Nordeste,2008-05-01,10574136.73,20017738.274734374
93,Pernambuco,Nordeste,2008-05-01,24587807.06,46546805.57329487
94,Alagoas,Nordeste,2008-05-01,7544305.14,14282009.927939834
95,Sergipe,Nordeste,2008-05-01,4016061.23,7602744.758289862
96,Bahia,Nordeste,2008-05-01,32766558.5,62029876.19366379
97,Minas Gerais,Sudeste,2008-05-01,63792953.08,120765474.3961165
98,Espírito Santo,Sudeste,2008-05-01,9341959.47,17685122.144589126
99,Rio de Janeiro,Sudeste,2008-05-01,35631846.29,67454109.1619481
100,São Paulo,Sudeste,2008-05-01,140345314.78,265685592.22245368
101,Paraná,Sul,2008-05-01,45447815.74,86036572.42870486
102,Santa Catarina,Sul,2008-05-01,23086810.84,43705292.33675045
103,Rio Grande do Sul,Sul,2008-05-01,42582365.31,80612031.56909701
104,Mato Grosso do Sul,Centro-Oeste,2008-05-01,7834923.98,14832176.057371652
105,Mato Grosso,Centro-Oeste,2008-05-01,7435597.37,14076216.893117784
106,Goiás,Centro-Oeste,2008-05-01,15629514.15,29587996.789214723
107,Distrito Federal,Centro-Oeste,2008-05-01,9434607.43,17860512.596057974
108,Rondônia,Norte,2008-06-01,2049889.93,3852105.4621012234
109,Acre,Norte,2008-06-01,1605045.77,3016164.666724064
110,Amazonas,Norte,2008-06-01,6635444.19,12469172.336373609
111,Roraima,Norte,2008-06-01,681752.89,1281134.168687923
112,Pará,Norte,2008-06-01,18141592.73,34091258.96162086
113,Amapá,Norte,2008-06-01,1042894.53,1959783.1359698852
114,Tocantins,Norte,2008-06-01,4248327.7,7983358.568899321
115,Maranhão,Nordeste,2008-06-01,11146698.99,20946617.39412379
116,Piauí,Nordeste,2008-06-01,8189998.84,15390455.265159864
117,Ceará,Nordeste,2008-06-01,23227324.91,43648248.545623526
118,Rio Grande do Norte,Nordeste,2008-06-01,8220414.8,15447612.229510166
119,Paraíba,Nordeste,2008-06-01,9741907.9,18306766.662772503
120,Pernambuco,Nordeste,2008-06-01,22544181.97,42364502.2273176
121,Alagoas,Nordeste,2008-06-01,7963559.17,14964935.1058197
122,Sergipe,Nordeste,2008-06-01,3709714.97,6971210.058471616
123,Bahia,Nordeste,2008-06-01,31089802.63,58423233.74244391
124,Minas Gerais,Sudeste,2008-06-01,64114843.07,120483121.35067163
125,Espírito Santo,Sudeste,2008-06-01,9413482.41,17689597.12337081
126,Rio de Janeiro,Sudeste,2008-06-01,35845218.62,67359500.8275954
127,São Paulo,Sudeste,2008-06-01,142619771.46,268007756.22362038
128,Paraná,Sul,2008-06-01,45907447.6,86268207.4110612
129,Santa Catarina,Sul,2008-06-01,23668110.53,44476562.62706188
