,UF,regiao,data,valor_corrigido
0,Rondônia,Norte,2008-02-01,2907875.523027687
1,Acre,Norte,2008-02-01,2561792.6850956404
2,Amazonas,Norte,2008-02-01,11743634.481970811
3,Roraima,Norte,2008-02-01,1066254.9168046585
4,Pará,Norte,2008-02-01,29996946.180206753
5,Amapá,Norte,2008-02-01,1829140.1502058099
6,Tocantins,Norte,2008-02-01,7809676.58225235
7,Maranhão,Nordeste,2008-02-01,20177000.98198259
8,Piauí,Nordeste,2008-02-01,14746497.083773276
9,Ceará,Nordeste,2008-02-01,42260320.42895214
10,Rio Grande do Norte,Nordeste,2008-02-01,13960809.300087325
11,Paraíba,Nordeste,2008-02-01,16670370.544329723
12,Pernambuco,Nordeste,2008-02-01,39361347.562589005
13,Alagoas,Nordeste,2008-02-01,11997225.437857587
14,Sergipe,Nordeste,2008-02-01,6761664.499906697
15,Bahia,Nordeste,2008-02-01,49990590.47317498
16,Minas Gerais,Sudeste,2008-02-01,109099388.19035141
17,Espírito Santo,Sudeste,2008-02-01,15333817.132289851
18,Rio de Janeiro,Sudeste,2008-02-01,71226498.0950892
19,São Paulo,Sudeste,2008-02-01,275281794.6291638
20,Paraná,Sul,2008-02-01,76952883.63827664
21,Santa Catarina,Sul,2008-02-01,38214597.702617556
22,Rio Grande do Sul,Sul,2008-02-01,72659917.28960662
23,Mato Grosso do Sul,Centro-Oeste,2008-02-01,12617849.54620484
24,Mato Grosso,Centro-Oeste,2008-02-01,12129949.273134578
25,Goiás,Centro-Oeste,2008-02-01,28578586.379702736
26,Distrito Federal,Centro-Oeste,2008-02-01,15503600.622722235
27,Rondônia,Norte,2008-03-01,2933855.975838238
28,Acre,Norte,2008-03-01,3014280.448531056
29,Amazonas,Norte,2008-03-01,12690096.575213302
30,Roraima,Norte,2008-03-01,1206106.956282365
31,Pará,Norte,2008-03-01,32577268.37297337
32,Amapá,Norte,2008-03-01,1656619.4442325863
33,Tocantins,Norte,2008-03-01,7861534.096926522
34,Maranhão,Nordeste,2008-03-01,21869164.085839573
35,Piauí,Nordeste,2008-03-01,15721033.607067773
36,Ceará,Nordeste,2008-03-01,45662044.22227271
37,Rio Grande do Norte,Nordeste,2008-03-01,15340929.229494823
38,Paraíba,Nordeste,2008-03-01,18791510.985257365
39,Pernambuco,Nordeste,2008-03-01,46206475.714210376
40,Alagoas,Nordeste,2008-03-01,13588659.418887122
41,Sergipe,Nordeste,2008-03-01,7222828.134905953
42,Bahia,Nordeste,2008-03-01,61401314.19163079
43,Minas Gerais,Sudeste,2008-03-01,122329473.3304728
44,Espírito Santo,Sudeste,2008-03-01,18547333.25109175
45,Rio de Janeiro,Sudeste,2008-03-01,67076130.53272264
46,São Paulo,Sudeste,2008-03-01,265700687.2054052
47,Paraná,Sul,2008-03-01,87185460.17940792
48,Santa Catarina,Sul,2008-03-01,42915407.91069948
49,Rio Grande do Sul,Sul,2008-03-01,83446323.62142636
50,Mato Grosso do Sul,Centro-Oeste,2008-03-01,14906161.272692278
51,Mato Grosso,Centro-Oeste,2008-03-01,14349846.6842482
52,Goiás,Centro-Oeste,2008-03-01,32927854.752354786
53,Distrito Federal,Centro-Oeste,2008-03-01,17574141.137157064
54,Rondônia,Norte,2008-04-01,3214419.8044662937
55,Acre,Norte,2008-04-01,3005128.882152579
56,Amazonas,Norte,2008-04-01,12497111.801840171
57,Roraima,Norte,2008-04-01,1237386.089220071
58,Pará,Norte,2008-04-01,34464822.03118444
59,Amapá,Norte,2008-04-01,1979024.6804709272
60,Tocantins,Norte,2008-04-01,8010747.952411479
61,Maranhão,Nordeste,2008-04-01,22287580.050185956
62,Piauí,Nordeste,2008-04-01,15308809.290065201
63,Ceará,Nordeste,2008-04-01,47317495.53972898
64,Rio Grande do Norte,Nordeste,2008-04-01,16554673.247546025
65,Paraíba,Nordeste,2008-04-01,19271655.25803438
66,Pernambuco,Nordeste,2008-04-01,45341183.369543776
67,Alagoas,Nordeste,2008-04-01,15447132.012142574
68,Sergipe,Nordeste,2008-04-01,7518689.157038443
69,Bahia,Nordeste,2008-04-01,63744652.50758698
70,Minas Gerais,Sudeste,2008-04-01,121389720.12114152
71,Espírito Santo,Sudeste,2008-04-01,18928811.66072972
72,Rio de Janeiro,Sudeste,2008-04-01,70810594.17671598
73,São Paulo,Sudeste,2008-04-01,263893991.76394296
74,Paraná,Sul,2008-04-01,87551460.35659607
75,Santa Catarina,Sul,2008-04-01,43204111.81456553
76,Rio Grande do Sul,Sul,2008-04-01,81680676.68399006
77,Mato Grosso do Sul,Centro-Oeste,2008-04-01,13633396.770062188
78,Mato Grosso,Centro-Oeste,2008-04-01,14248239.74898685
79,Goiás,Centro-Oeste,2008-04-01,32759747.933968544
80,Distrito Federal,Centro-Oeste,2008-04-01,18041239.932152938
81,Rondônia,Norte,2008-05-01,3431315.432929411
82,Acre,Norte,2008-05-01,3221691.343321674
83,Amazonas,Norte,2008-05-01,13267601.876051465
84,Roraima,Norte,2008-05-01,1401807.425562917
85,Pará,Norte,2008-05-01,34913047.747103564
86,Amapá,Norte,2008-05-01,1964977.3821485501
87,Tocantins,Norte,2008-05-01,7923062.101610647
88,Maranhão,Nordeste,2008-05-01,21138745.784300763
89,Piauí,Nordeste,2008-05-01,15626516.192239603
90,Ceará,Nordeste,2008-05-01,46658458.71569211
91,Rio Grande do Norte,Nordeste,2008-05-01,16495360.215631625
92,Paraíba,Nordeste,2008-05-01,20017738.274734374
93,Pernambuco,Nordeste,2008-05-01,46546805.57329487
